Latitude,Longitude,Stop/Station Name
49.618801,6.132747,Pfaffenthal-Kirchberg. Pôle d'Échange
49.619332,6.132441,Pfaffenthal-Kirchberg. Pôle d'Échange
49.625489,6.120207,Limpertsberg. Avenir
49.622883,6.127587,Limpertsberg. Belle-Vue
49.626227,6.114984,Luxembourg. Siggy vu Lëtzebuerg
49.618927,6.133043,Pfaffenthal-Kirchberg. Pôle d'Échange
49.621867,6.129475,Limpertsberg. Alen Eecherbierg
49.624294,6.100529,Rollingergrund. Stand de Tir
49.619062,6.133025,Pfaffenthal-Kirchberg. Pôle d'Échange
49.619116,6.133043,Pfaffenthal-Kirchberg. Pôle d'Échange
49.619314,6.133088,Pfaffenthal-Kirchberg. Pôle d'Échange
49.603151000000004,6.134221,Luxembourg. Wallis
49.62024,6.132594,Pfaffenthal. Sichenhaff
49.594485999999996,6.109941,Cessange. Artisans
49.595141999999996,6.120989,Hollerich. Gare
49.605461,6.136737999999999,Verlorenkost. Al Molkerei
49.62255,6.130329,Eich. Octroi
49.621714000000004,6.131569,Pfaffenthal. Stade G.Diderich
49.600922,6.13316,Luxembourg. Gare Centrale Quai 101
49.618396999999995,6.135273000000001,Pfaffenthal-Kirchberg. Pôle d'Échange
49.624168,6.097338,Rollingergrund. Steekaul
49.600544,6.133304,Luxembourg. Gare Centrale Quai 102
49.603115,6.089275,Merl. Plaak
49.618307,6.1360730000000006,Pfaffenthal-Kirchberg. Pôle d'Échange
49.600625,6.133744999999999,Luxembourg. Gare Centrale
49.618289000000004,6.136181,Pfaffenthal-Kirchberg. Pôle d'Échange
49.618864,6.135794000000001,Pfaffenthal-Kirchberg. Pôle d'Échange
49.5996,6.132864,Luxembourg. Gare Centrale Quai 103
49.610774,6.139174,Clausen. Rumm
49.603753000000005,6.136981,Bonnevoie. Huese Vic
49.61873,6.136297,Pfaffenthal-Kirchberg. Pôle d'Échange
49.618658,6.136576,Pfaffenthal-Kirchberg. Pôle d'Échange
49.618748,6.136558,Pfaffenthal-Kirchberg. Pôle d'Échange
49.599070000000005,6.133033999999999,Luxembourg. Gare routière
49.604679,6.1381760000000005,Verlorenkost. Laboratoire
49.628384000000004,6.11324,Muhlenbach. Peiffeschbierg
49.618028,6.087530999999999,Strassen. Hondseck
49.612842,6.139857,Clausen. Plateau Altmunster
49.616779,6.086659,Strassen. Michel Angelo
49.593011,6.1169709999999995,Gasperich. Gaasperecherbierg
49.628303,6.106777,Rollingergrund. Villeroy & Boch
49.593154999999996,6.119425,Gasperich. Klensch
49.610738,6.14081,Cents. Dinselpuert
